TITLE = "Slice Z = -450"
VARIABLES = "X", "Y", "V", "Ex", "Ey", "Ez", "abs(E)"
ZONE I= 150, J= 1, F=POINT
v1;v2;u0;u_correct
0.00000000000000000e+00;0.00000000000000000e+00;6.72228054858777710e+01;6.72228054858777710e+01
4.02684563758389302e+00;0.00000000000000000e+00;6.72152699814093637e+01;6.72152699814093637e+01
8.05369127516778605e+00;0.00000000000000000e+00;6.72077344769409564e+01;6.72077344769409564e+01
1.20805369127516791e+01;0.00000000000000000e+00;6.72001989724725490e+01;6.72001989724725490e+01
1.61073825503355721e+01;0.00000000000000000e+00;6.71926634680041417e+01;6.71926634680041417e+01
2.01342281879194651e+01;0.00000000000000000e+00;6.71851279635357344e+01;6.71851279635357344e+01
2.41610738255033581e+01;0.00000000000000000e+00;6.71775924590673128e+01;6.71775924590673128e+01
2.81879194630872512e+01;0.00000000000000000e+00;6.71602874073489033e+01;6.71602874073489033e+01
3.22147651006711442e+01;0.00000000000000000e+00;6.71404114221436430e+01;6.71404114221436430e+01
3.62416107382550337e+01;0.00000000000000000e+00;6.71205354369383826e+01;6.71205354369383826e+01
4.02684563758389302e+01;0.00000000000000000e+00;6.71006594517331365e+01;6.71006594517331365e+01
4.42953020134228268e+01;0.00000000000000000e+00;6.70807834665278762e+01;6.70807834665278762e+01
4.83221476510067163e+01;0.00000000000000000e+00;6.70609074813226016e+01;6.70609074813226016e+01
5.23489932885906057e+01;0.00000000000000000e+00;6.70410314961173555e+01;6.70410314961173555e+01
5.63758389261745023e+01;0.00000000000000000e+00;6.70080461779423189e+01;6.70080461779423189e+01
6.04026845637583989e+01;0.00000000000000000e+00;6.69745501065346929e+01;6.69745501065346929e+01
6.44295302013422884e+01;0.00000000000000000e+00;6.69410540351270811e+01;6.69410540351270811e+01
6.84563758389261778e+01;0.00000000000000000e+00;6.69075579637194693e+01;6.69075579637194693e+01
7.24832214765100673e+01;0.00000000000000000e+00;6.68740618923118291e+01;6.68740618923118291e+01
7.65100671140939710e+01;0.00000000000000000e+00;6.68405658209042031e+01;6.68405658209042031e+01
8.05369127516778605e+01;0.00000000000000000e+00;6.68070697494965913e+01;6.68070697494965913e+01
8.45637583892617499e+01;0.00000000000000000e+00;6.67667787527850294e+01;6.67667787527850294e+01
8.85906040268456536e+01;0.00000000000000000e+00;6.67181968157627665e+01;6.67181968157627665e+01
9.26174496644295431e+01;0.00000000000000000e+00;6.66696148787405036e+01;6.66696148787405036e+01
9.66442953020134325e+01;0.00000000000000000e+00;6.66210329417182407e+01;6.66210329417182407e+01
1.00671140939597322e+02;0.00000000000000000e+00;6.65724510046959495e+01;6.65724510046959495e+01
1.04697986577181211e+02;0.00000000000000000e+00;6.65238690676737008e+01;6.65238690676737008e+01
1.08724832214765115e+02;0.00000000000000000e+00;6.64752871306514379e+01;6.64752871306514379e+01
1.12751677852349005e+02;0.00000000000000000e+00;6.64267051936291750e+01;6.64267051936291750e+01
1.16778523489932894e+02;0.00000000000000000e+00;6.63749826881419267e+01;6.63749826881419267e+01
1.20805369127516798e+02;0.00000000000000000e+00;6.63096174861098291e+01;6.63096174861098291e+01
1.24832214765100687e+02;0.00000000000000000e+00;6.62442522840777315e+01;6.62442522840777315e+01
1.28859060402684577e+02;0.00000000000000000e+00;6.61788870820456196e+01;6.61788870820456196e+01
