TITLE = "Slice Z = -700"
VARIABLES = "X", "Y", "V", "Ex", "Ey", "Ez", "abs(E)"
ZONE I= 200, J= 1, F=POINT
v1;v2;u;u2d
1.00000000000000000e+03;5.00000000000000000e+02;5.66519834891228914e-06;3.20737207792513978e-05
1.00351758793969850e+03;5.00000000000000000e+02;5.64008024058405199e-06;3.18991821770670049e-05
1.00703517587939700e+03;5.00000000000000000e+02;5.61496213225581399e-06;3.17245218568807031e-05
1.01055276381909550e+03;5.00000000000000000e+02;5.58984402392757515e-06;3.15497408387185294e-05
1.01407035175879400e+03;5.00000000000000000e+02;5.56472591559933801e-06;3.13759187848001913e-05
1.01758793969849251e+03;5.00000000000000000e+02;5.53960780727109917e-06;3.12319072345342285e-05
1.02110552763819101e+03;5.00000000000000000e+02;5.51448969894286287e-06;3.10877988357815226e-05
1.02462311557788939e+03;5.00000000000000000e+02;5.48937159061462572e-06;3.09435943933568863e-05
1.02814070351758801e+03;5.00000000000000000e+02;5.46425348228638688e-06;3.07992947037099296e-05
1.03165829145728640e+03;5.00000000000000000e+02;5.43913537395814973e-06;3.06549005550258165e-05
1.03517587939698501e+03;5.00000000000000000e+02;5.41401726562991089e-06;3.05104127273245502e-05
1.03869346733668340e+03;5.00000000000000000e+02;5.38889915730167459e-06;3.03658319925592635e-05
1.04221105527638201e+03;5.00000000000000000e+02;5.36378104897343575e-06;3.02211591147129054e-05
1.04572864321608040e+03;5.00000000000000000e+02;5.33866294064519945e-06;3.00763948498939459e-05
1.04924623115577879e+03;5.00000000000000000e+02;5.31354483231696145e-06;2.99315399464305387e-05
1.05276381909547740e+03;5.00000000000000000e+02;5.28842672398872261e-06;2.97865951449636988e-05
1.05628140703517579e+03;5.00000000000000000e+02;5.26330861566048631e-06;2.96415611785392285e-05
1.05979899497487440e+03;5.00000000000000000e+02;5.23819050733224662e-06;2.94964387726982590e-05
1.06331658291457279e+03;5.00000000000000000e+02;5.21307239900401117e-06;2.93512286455667886e-05
1.06683417085427141e+03;5.00000000000000000e+02;5.18795429067577233e-06;2.92059315079439939e-05
1.07035175879396979e+03;5.00000000000000000e+02;5.16283618234753434e-06;2.90605480633894575e-05
1.07386934673366841e+03;5.00000000000000000e+02;5.13771807401929719e-06;2.89150790083090302e-05
1.07738693467336680e+03;5.00000000000000000e+02;5.11259996569105835e-06;2.87695250320399170e-05
1.08090452261306541e+03;5.00000000000000000e+02;5.08748185736281951e-06;2.86238868169343300e-05
1.08442211055276380e+03;5.00000000000000000e+02;5.06236374903458321e-06;2.84781650384422672e-05
1.08793969849246241e+03;5.00000000000000000e+02;5.03724564070634437e-06;2.83323603651930719e-05
1.09145728643216080e+03;5.00000000000000000e+02;5.01212753237810637e-06;2.81864734590760735e-05
1.09497487437185919e+03;5.00000000000000000e+02;4.98700942404987092e-06;2.80405049753199915e-05
1.09849246231155780e+03;5.00000000000000000e+02;4.96189131572163123e-06;2.78944555625714862e-05
1.10201005025125619e+03;5.00000000000000000e+02;4.93677320739339493e-06;2.77483258629725979e-05
1.10552763819095480e+03;5.00000000000000000e+02;4.91165509906515609e-06;2.76021165122371490e-05
1.10904522613065319e+03;5.00000000000000000e+02;4.88653699073691979e-06;2.74558281397262421e-05
1.11256281407035181e+03;5.00000000000000000e+02;4.86141888240868180e-06;2.73094613685227138e-05
1.11608040201005019e+03;5.00000000000000000e+02;4.83630077408044295e-06;2.71630168155045999e-05
1.11959798994974881e+03;5.00000000000000000e+02;4.81118266575220496e-06;2.70164950914177292e-05
1.12311557788944720e+03;5.00000000000000000e+02;4.78606455742396866e-06;2.68698968009473456e-05
