TITLE = "Slice Z = -450"
VARIABLES = "X", "Y", "V", "Ex", "Ey", "Ez", "abs(E)"
ZONE I= 150, J= 1, F=POINT
v1;v2;u;u2d
0.00000000000000000e+00;4.50000000000000000e+02;1.85904626075539991e-05;1.13578931522750906e-04
6.71140939597315445e+00;4.50000000000000000e+02;1.85780208279339522e-05;1.13570528544150651e-04
1.34228187919463089e+01;4.50000000000000000e+02;1.85655790483139087e-05;1.13545325212885916e-04
2.01342281879194616e+01;4.50000000000000000e+02;1.85531372686938652e-05;1.13503338323891039e-04
2.68456375838926178e+01;4.50000000000000000e+02;1.85406954890738183e-05;1.13444595806622728e-04
3.35570469798657740e+01;4.50000000000000000e+02;1.85282537094537681e-05;1.13369136632414358e-04
4.02684563758389231e+01;4.50000000000000000e+02;1.85158119298337246e-05;1.13277010685775906e-04
4.69798657718120793e+01;4.50000000000000000e+02;1.85033701502136777e-05;1.13168278600626060e-04
5.36912751677852356e+01;4.50000000000000000e+02;1.84909283705936308e-05;1.13043011562701922e-04
6.04026845637583918e+01;4.50000000000000000e+02;1.84768936780277295e-05;1.12901291079633292e-04
6.71140939597315480e+01;4.50000000000000000e+02;1.84394549002567193e-05;1.12743208720390039e-04
7.38255033557046971e+01;4.50000000000000000e+02;1.84020161224856988e-05;1.12568865826010372e-04
8.05369127516778462e+01;4.50000000000000000e+02;1.83645773447146818e-05;1.12378373193691919e-04
8.72483221476510096e+01;4.50000000000000000e+02;1.83271385669436648e-05;1.12171850736476458e-04
9.39597315436241587e+01;4.50000000000000000e+02;1.82896997891726443e-05;1.11949427120878916e-04
1.00671140939597322e+02;4.50000000000000000e+02;1.82522610114016273e-05;1.11711239384905129e-04
1.07382550335570471e+02;4.50000000000000000e+02;1.82148222336306103e-05;1.11457432538966030e-04
1.14093959731543620e+02;4.50000000000000000e+02;1.81773834558595932e-05;1.11188159152234069e-04
1.20805369127516784e+02;4.50000000000000000e+02;1.81399446780885728e-05;1.10903578926996340e-04
1.27516778523489933e+02;4.50000000000000000e+02;1.81016224707512895e-05;1.10603858263542862e-04
1.34228187919463096e+02;4.50000000000000000e+02;1.80419586276404291e-05;1.10289169818088859e-04
1.40939597315436231e+02;4.50000000000000000e+02;1.79822947845295721e-05;1.09959692056165747e-04
1.47651006711409394e+02;4.50000000000000000e+02;1.79226309414187151e-05;1.09615608803833789e-04
1.54362416107382558e+02;4.50000000000000000e+02;1.78629670983078514e-05;1.09257108798967300e-04
1.61073825503355692e+02;4.50000000000000000e+02;1.78033032551969944e-05;1.08884385244747273e-04
1.67785234899328856e+02;4.50000000000000000e+02;1.77436394120861340e-05;1.08497635367365940e-04
1.74496644295302019e+02;4.50000000000000000e+02;1.76839755689752770e-05;1.08097059979807883e-04
1.81208053691275182e+02;4.50000000000000000e+02;1.76243117258644200e-05;1.07682863053423707e-04
1.87919463087248317e+02;4.50000000000000000e+02;1.75646478827535563e-05;1.07255251298858027e-04
1.94630872483221481e+02;4.50000000000000000e+02;1.74897878805123049e-05;1.06814433757735632e-04
2.01342281879194644e+02;4.50000000000000000e+02;1.74137319928609012e-05;1.06360621406351131e-04
2.08053691275167779e+02;4.50000000000000000e+02;1.73376761052095077e-05;1.05894026772448827e-04
2.14765100671140942e+02;4.50000000000000000e+02;1.72616202175581075e-05;1.05414863566023179e-04
2.21476510067114106e+02;4.50000000000000000e+02;1.71855643299067106e-05;1.04923346324919316e-04
2.28187919463087241e+02;4.50000000000000000e+02;1.71095084422553103e-05;1.04419690075864769e-04
2.34899328859060404e+02;4.50000000000000000e+02;1.70334525546039100e-05;1.03904110011425303e-04
2.41610738255033567e+02;4.50000000000000000e+02;1.69573966669525098e-05;1.03376821183243022e-04
2.48322147651006702e+02;4.50000000000000000e+02;1.68740772681739400e-05;1.02838038211792353e-04
2.55033557046979865e+02;4.50000000000000000e+02;1.67867210179430518e-05;1.02287975012771562e-04
2.61744966442953000e+02;4.50000000000000000e+02;1.66993647677121636e-05;1.01726844540142553e-04
2.68456375838926192e+02;4.50000000000000000e+02;1.66120085174812755e-05;1.01154858545733002e-04
2.75167785234899327e+02;4.50000000000000000e+02;1.65246522672503907e-05;1.00572227355227362e-04
2.81879194630872462e+02;4.50000000000000000e+02;1.64372960170195059e-05;9.99791596602946417e-05
2.88590604026845654e+02;4.50000000000000000e+02;1.63499397667886177e-05;9.94266839883094927e-05
2.95302013422818789e+02;4.50000000000000000e+02;1.62617690325689853e-05;9.88929690524356544e-05
3.02013422818791923e+02;4.50000000000000000e+02;1.61671150125690685e-05;9.83507069122360831e-05
3.08724832214765115e+02;4.50000000000000000e+02;1.60724609925691551e-05;9.78000719452634323e-05
3.15436241610738250e+02;4.50000000000000000e+02;1.59778069725692384e-05;9.72412364018254016e-05
3.22147651006711385e+02;4.50000000000000000e+02;1.58831529525693250e-05;9.66743703008703602e-05
3.28859060402684577e+02;4.50000000000000000e+02;1.57884989325694116e-05;9.60996413370938674e-05
3.35570469798657712e+02;4.50000000000000000e+02;1.56938449125694948e-05;9.55172147987584246e-05
3.42281879194630903e+02;4.50000000000000000e+02;1.55980354498879681e-05;9.49272534957105416e-05
3.48993288590604038e+02;4.50000000000000000e+02;1.54990228723916792e-05;9.43299176970740236e-05
3.55704697986577173e+02;4.50000000000000000e+02;1.54000102948953903e-05;9.37253650780970813e-05
3.62416107382550365e+02;4.50000000000000000e+02;1.53009977173991014e-05;9.31137506756338782e-05
3.69127516778523500e+02;4.50000000000000000e+02;1.52019851399028125e-05;9.24952268517470239e-05
3.75838926174496635e+02;4.50000000000000000e+02;1.51029725624065253e-05;9.18699432649247030e-05
3.82550335570469827e+02;4.50000000000000000e+02;1.50038656893994785e-05;9.12380468484187630e-05
3.89261744966442961e+02;4.50000000000000000e+02;1.49025530937343092e-05;9.05996817952202881e-05
3.95973154362416096e+02;4.50000000000000000e+02;1.48012404980691416e-05;8.99549895492059360e-05
