         r         z   correctSolution                 q              diff
         0       -10               -10               -10                 0
         1       -10               -10               -10                 0
         2       -10               -10               -10                 0
         3       -10               -10               -10                 0
         4       -10               -10               -10                 0
         5       -10               -10               -10                 0
         6       -10               -10               -10                 0
         7       -10               -10               -10                 0
         8       -10               -10               -10                 0
         9       -10               -10               -10                 0
        10       -10               -10               -10                 0
         0        -9                -9                -9       5.32907e-15
         1        -9                -9                -9       1.77636e-15
         2        -9                -9                -9       7.10543e-15
         3        -9                -9                -9                 0
         4        -9                -9                -9      -7.10543e-15
         5        -9                -9                -9       3.55271e-15
         6        -9                -9                -9       1.06581e-14
         7        -9                -9                -9      -1.77636e-15
         8        -9                -9                -9       5.32907e-15
         9        -9                -9                -9      -8.88178e-15
        10        -9                -9                -9       5.32907e-15
         0        -8                -8                -8       1.33227e-14
         1        -8                -8                -8      -1.77636e-14
         2        -8                -8                -8      -3.55271e-15
         3        -8                -8                -8      -7.10543e-15
         4        -8                -8                -8      -3.55271e-15
         5        -8                -8                -8      -1.77636e-15
         6        -8                -8                -8      -7.10543e-15
         7        -8                -8                -8      -3.55271e-15
         8        -8                -8                -8      -8.88178e-15
         9        -8                -8                -8      -3.55271e-15
        10        -8                -8                -8       1.33227e-14
         0        -7                -7                -7       3.55271e-15
         1        -7                -7                -7       8.88178e-16
         2        -7                -7                -7                 0
         3        -7                -7                -7      -2.66454e-15
         4        -7                -7                -7      -2.66454e-15
         5        -7                -7                -7      -5.32907e-15
         6        -7                -7                -7       3.55271e-15
         7        -7                -7                -7       4.44089e-15
         8        -7                -7                -7      -7.99361e-15
         9        -7                -7                -7       8.88178e-16
        10        -7                -7                -7       3.55271e-15
         0        -6                -6                -6      -8.88178e-16
         1        -6                -6                -6      -3.55271e-15
         2        -6                -6                -6       4.44089e-15
         3        -6                -6                -6       5.32907e-15
         4        -6                -6                -6       2.66454e-15
         5        -6                -6                -6      -3.55271e-15
         6        -6                -6                -6       6.21725e-15
         7        -6                -6                -6                 0
         8        -6                -6                -6      -5.32907e-15
         9        -6                -6                -6       1.77636e-15
        10        -6                -6                -6      -8.88178e-16
         0        -5                -5                -5                 0
         1        -5                -5                -5      -8.88178e-16
         2        -5                -5                -5      -6.21725e-15
         3        -5                -5                -5      -1.77636e-15
         4        -5                -5                -5       6.21725e-15
         5        -5                -5                -5       2.66454e-15
         6        -5                -5                -5      -1.77636e-15
         7        -5                -5                -5       3.55271e-15
         8        -5                -5                -5      -1.33227e-14
         9        -5                -5                -5      -9.76996e-15
        10        -5                -5                -5                 0
         0        -4                -4                -4       6.66134e-15
         1        -4                -4                -4      -8.88178e-16
         2        -4                -4                -4       2.22045e-15
         3        -4                -4                -4      -3.55271e-15
         4        -4                -4                -4      -3.55271e-15
         5        -4                -4                -4       1.33227e-15
         6        -4                -4                -4      -4.44089e-15
         7        -4                -4                -4      -2.66454e-15
         8        -4                -4                -4      -6.21725e-15
         9        -4                -4                -4      -1.77636e-15
        10        -4                -4                -4       6.66134e-15
         0        -3                -3                -3      -4.44089e-16
         1        -3                -3                -3      -6.66134e-15
         2        -3                -3                -3      -1.77636e-15
         3        -3                -3                -3      -8.88178e-16
         4        -3                -3                -3       8.88178e-16
         5        -3                -3                -3       1.33227e-15
         6        -3                -3                -3       4.44089e-16
         7        -3                -3                -3       4.44089e-16
         8        -3                -3                -3      -2.66454e-15
         9        -3                -3                -3       2.22045e-15
        10        -3                -3                -3      -4.44089e-16
         0        -2                -2                -2       3.33067e-15
         1        -2                -2                -2      -1.77636e-15
         2        -2                -2                -2       1.55431e-15
         3        -2                -2                -2      -3.55271e-15
         4        -2                -2                -2      -4.44089e-16
         5        -2                -2                -2      -4.44089e-16
         6        -2                -2                -2       6.66134e-16
         7        -2                -2                -2      -1.77636e-15
         8        -2                -2                -2       2.22045e-15
         9        -2                -2                -2      -1.77636e-15
        10        -2                -2                -2       3.33067e-15
         0        -1                -1                -1       1.66533e-15
         1        -1                -1                -1      -1.55431e-15
         2        -1                -1                -1      -4.44089e-16
         3        -1                -1                -1       7.77156e-16
         4        -1                -1                -1       3.33067e-16
         5        -1                -1                -1                 0
         6        -1                -1                -1       9.99201e-16
         7        -1                -1                -1       4.44089e-16
         8        -1                -1                -1      -6.66134e-16
         9        -1                -1                -1       9.99201e-16
        10        -1                -1                -1       1.66533e-15
         0         0                 0                 0                 0
         1         0                 0                 0                 0
         2         0                 0                 0                 0
         3         0                 0                 0                 0
         4         0                 0                 0                 0
         5         0                 0                 0                 0
         6         0                 0                 0                 0
         7         0                 0                 0                 0
         8         0                 0                 0                 0
         9         0                 0                 0                 0
        10         0                 0                 0                 0
Отн. погрешность: 7.39251e-16
