         x         y         z          analitic          solution          pogreshn
       -10       -10       -10                 0                 0                 0
  -8.74421       -10       -10                 0                 0                 0
  -7.20351       -10       -10                 0                 0                 0
  -5.91959       -10       -10                 0                 0                 0
  -4.84966       -10       -10                 0                 0                 0
  -3.95805       -10       -10                 0                 0                 0
  -3.21504       -10       -10                 0                 0                 0
  -2.59587       -10       -10                 0                 0                 0
  -2.07989       -10       -10                 0                 0                 0
  -1.29159       -10       -10                 0                 0                 0
   -0.5368       -10       -10                 0                 0                 0
         0       -10       -10                 0                 0                 0
    0.5368       -10       -10                 0                 0                 0
   1.29159       -10       -10                 0                 0                 0
   2.07989       -10       -10                 0                 0                 0
   2.59587       -10       -10                 0                 0                 0
   3.21504       -10       -10                 0                 0                 0
   3.95805       -10       -10                 0                 0                 0
   4.84966       -10       -10                 0                 0                 0
   5.91959       -10       -10                 0                 0                 0
   7.20351       -10       -10                 0                 0                 0
   8.74421       -10       -10                 0                 0                 0
        10       -10       -10                 0                 0                 0
       -10      -9.5       -10                 0                 0                 0
  -8.74421      -9.5       -10                 0                 0                 0
  -7.20351      -9.5       -10                 0                 0                 0
  -5.91959      -9.5       -10                 0                 0                 0
  -4.84966      -9.5       -10                 0                 0                 0
  -3.95805      -9.5       -10                 0                 0                 0
  -3.21504      -9.5       -10                 0                 0                 0
  -2.59587      -9.5       -10                 0                 0                 0
  -2.07989      -9.5       -10                 0                 0                 0
  -1.29159      -9.5       -10                 0                 0                 0
   -0.5368      -9.5       -10                 0                 0                 0
         0      -9.5       -10                 0                 0                 0
    0.5368      -9.5       -10                 0                 0                 0
   1.29159      -9.5       -10                 0                 0                 0
   2.07989      -9.5       -10                 0                 0                 0
   2.59587      -9.5       -10                 0                 0                 0
   3.21504      -9.5       -10                 0                 0                 0
   3.95805      -9.5       -10                 0                 0                 0
   4.84966      -9.5       -10                 0                 0                 0
   5.91959      -9.5       -10                 0                 0                 0
   7.20351      -9.5       -10                 0                 0                 0
   8.74421      -9.5       -10                 0                 0                 0
        10      -9.5       -10                 0                 0                 0
       -10        -5       -10                 0                 0                 0
  -8.74421        -5       -10                 0                 0                 0
  -7.20351        -5       -10                 0                 0                 0
  -5.91959        -5       -10                 0                 0                 0
  -4.84966        -5       -10                 0                 0                 0
  -3.95805        -5       -10                 0                 0                 0
  -3.21504        -5       -10                 0                 0                 0
  -2.59587        -5       -10                 0                 0                 0
  -2.07989        -5       -10                 0                 0                 0
  -1.29159        -5       -10                 0                 0                 0
   -0.5368        -5       -10                 0                 0                 0
         0        -5       -10                 0                 0                 0
    0.5368        -5       -10                 0                 0                 0
   1.29159        -5       -10                 0                 0                 0
   2.07989        -5       -10                 0                 0                 0
   2.59587        -5       -10                 0                 0                 0
   3.21504        -5       -10                 0                 0                 0
   3.95805        -5       -10                 0                 0                 0
   4.84966        -5       -10                 0                 0                 0
   5.91959        -5       -10                 0                 0                 0
   7.20351        -5       -10                 0                 0                 0
   8.74421        -5       -10                 0                 0                 0
        10        -5       -10                 0                 0                 0
       -10        -2       -10                 0                 0                 0
  -8.74421        -2       -10                 0                 0                 0
  -7.20351        -2       -10                 0                 0                 0
  -5.91959        -2       -10                 0                 0                 0
  -4.84966        -2       -10                 0                 0                 0
  -3.95805        -2       -10                 0                 0                 0
  -3.21504        -2       -10                 0                 0                 0
  -2.59587        -2       -10                 0                 0                 0
  -2.07989        -2       -10                 0                 0                 0
  -1.29159        -2       -10                 0                 0                 0
   -0.5368        -2       -10                 0                 0                 0
         0        -2       -10                 0                 0                 0
    0.5368        -2       -10                 0                 0                 0
   1.29159        -2       -10                 0                 0                 0
   2.07989        -2       -10                 0                 0                 0
   2.59587        -2       -10                 0                 0                 0
   3.21504        -2       -10                 0                 0                 0
   3.95805        -2       -10                 0                 0                 0
   4.84966        -2       -10                 0                 0                 0
   5.91959        -2       -10                 0                 0                 0
   7.20351        -2       -10                 0                 0                 0
   8.74421        -2       -10                 0                 0                 0
        10        -2       -10                 0                 0                 0
       -10         0       -10                 0                 0                 0
  -8.74421         0       -10                 0                 0                 0
  -7.20351         0       -10                 0                 0                 0
  -5.91959         0       -10                 0                 0                 0
  -4.84966         0       -10                 0                 0                 0
  -3.95805         0       -10                 0                 0                 0
  -3.21504         0       -10                 0                 0                 0
  -2.59587         0       -10                 0                 0                 0
  -2.07989         0       -10                 0                 0                 0
  -1.29159         0       -10                 0                 0                 0
   -0.5368         0       -10                 0                 0                 0
         0         0       -10                 0                 0                 0
    0.5368         0       -10                 0                 0                 0
   1.29159         0       -10                 0                 0                 0
   2.07989         0       -10                 0                 0                 0
   2.59587         0       -10                 0                 0                 0
   3.21504         0       -10                 0                 0                 0
   3.95805         0       -10                 0                 0                 0
   4.84966         0       -10                 0                 0                 0
   5.91959         0       -10                 0                 0                 0
   7.20351         0       -10                 0                 0                 0
   8.74421         0       -10                 0                 0                 0
        10         0       -10                 0                 0                 0
       -10         2       -10                 0                 0                 0
  -8.74421         2       -10                 0                 0                 0
  -7.20351         2       -10                 0                 0                 0
  -5.91959         2       -10                 0                 0                 0
  -4.84966         2       -10                 0                 0                 0
  -3.95805         2       -10                 0                 0                 0
  -3.21504         2       -10                 0                 0                 0
  -2.59587         2       -10                 0                 0                 0
  -2.07989         2       -10                 0                 0                 0
  -1.29159         2       -10                 0                 0                 0
   -0.5368         2       -10                 0                 0                 0
         0         2       -10                 0                 0                 0
    0.5368         2       -10                 0                 0                 0
   1.29159         2       -10                 0                 0                 0
   2.07989         2       -10                 0                 0                 0
   2.59587         2       -10                 0                 0                 0
   3.21504         2       -10                 0                 0                 0
   3.95805         2       -10                 0                 0                 0
   4.84966         2       -10                 0                 0                 0
   5.91959         2       -10                 0                 0                 0
   7.20351         2       -10                 0                 0                 0
   8.74421         2       -10                 0                 0                 0
        10         2       -10                 0                 0                 0
       -10         5       -10                 0                 0                 0
  -8.74421         5       -10                 0                 0                 0
  -7.20351         5       -10                 0                 0                 0
  -5.91959         5       -10                 0                 0                 0
  -4.84966         5       -10                 0                 0                 0
  -3.95805         5       -10                 0                 0                 0
  -3.21504         5       -10                 0                 0                 0
  -2.59587         5       -10                 0                 0                 0
  -2.07989         5       -10                 0                 0                 0
  -1.29159         5       -10                 0                 0                 0
   -0.5368         5       -10                 0                 0                 0
         0         5       -10                 0                 0                 0
    0.5368         5       -10                 0                 0                 0
   1.29159         5       -10                 0                 0                 0
