1289 621
0 0 0
1.22898 0 0
2.8994 0 0
5 0 0
7.1006 0 0
8.77102 0 0
10 0 0
0 1.22898 0
1.22898 1.22898 0
2.8994 1.22898 0
5 1.22898 0
7.1006 1.22898 0
8.77102 1.22898 0
10 1.22898 0
0 2.8994 0
1.22898 2.8994 0
2.8994 2.8994 0
5 2.8994 0
7.1006 2.8994 0
8.77102 2.8994 0
10 2.8994 0
5 4.46 0
5 4.8 0
0 5 0
1.22898 5 0
2.8994 5 0
3.882 5 0
4.46 5 0
4.8 5 0
5 5 0
5.2 5 0
5.54 5 0
6.118 5 0
7.1006 5 0
8.77102 5 0
10 5 0
5 5.2 0
5 5.54 0
0 7.1006 0
1.22898 7.1006 0
2.8994 7.1006 0
5 7.1006 0
7.1006 7.1006 0
8.77102 7.1006 0
10 7.1006 0
0 8.77102 0
1.22898 8.77102 0
2.8994 8.77102 0
5 8.77102 0
7.1006 8.77102 0
8.77102 8.77102 0
10 8.77102 0
0 10 0
1.22898 10 0
2.8994 10 0
5 10 0
7.1006 10 0
8.77102 10 0
10 10 0
0 0 1.22898
1.22898 0 1.22898
2.8994 0 1.22898
5 0 1.22898
7.1006 0 1.22898
8.77102 0 1.22898
10 0 1.22898
0 1.22898 1.22898
1.22898 1.22898 1.22898
2.8994 1.22898 1.22898
5 1.22898 1.22898
7.1006 1.22898 1.22898
8.77102 1.22898 1.22898
10 1.22898 1.22898
0 2.8994 1.22898
1.22898 2.8994 1.22898
2.8994 2.8994 1.22898
5 2.8994 1.22898
10 2.8994 1.22898
5 4.46 1.22898
5 4.8 1.22898
0 5 1.22898
1.22898 5 1.22898
2.8994 5 1.22898
3.882 5 1.22898
4.46 5 1.22898
4.8 5 1.22898
5 5 1.22898
5.2 5 1.22898
5.54 5 1.22898
6.118 5 1.22898
10 5 1.22898
5 5.2 1.22898
5 5.54 1.22898
0 7.1006 1.22898
1.22898 7.1006 1.22898
10 7.1006 1.22898
0 8.77102 1.22898
1.22898 8.77102 1.22898
10 8.77102 1.22898
0 10 1.22898
1.22898 10 1.22898
2.8994 10 1.22898
5 10 1.22898
7.1006 10 1.22898
8.77102 10 1.22898
10 10 1.22898
0 0 2.8994
1.22898 0 2.8994
2.8994 0 2.8994
5 0 2.8994
7.1006 0 2.8994
8.77102 0 2.8994
10 0 2.8994
0 1.22898 2.8994
