SourceType=1, point({ r = 0; z = 0},i=1716, power=1
Added power 0.159155
         r         z   correctSolution                 q              diff
         0      -100                 0                 0                 0
       0.1      -100                 0                 0                 0
      0.21      -100                 0                 0                 0
     0.331      -100                 0                 0                 0
    0.4641      -100                 0                 0                 0
   0.61051      -100                 0                 0                 0
  0.771561      -100                 0                 0                 0
  0.948717      -100                 0                 0                 0
   1.14359      -100                 0                 0                 0
   1.35795      -100                 0                 0                 0
   1.59374      -100                 0                 0                 0
   1.85312      -100                 0                 0                 0
   2.13843      -100                 0                 0                 0
   2.45227      -100                 0                 0                 0
    2.7975      -100                 0                 0                 0
   3.17725      -100                 0                 0                 0
   3.59497      -100                 0                 0                 0
   4.05447      -100                 0                 0                 0
   4.55992      -100                 0                 0                 0
         5      -100                 0                 0                 0
         7      -100                 0                 0                 0
       9.2      -100                 0                 0                 0
     11.62      -100                 0                 0                 0
    14.282      -100                 0                 0                 0
   17.2102      -100                 0                 0                 0
   20.4312      -100                 0                 0                 0
   23.9743      -100                 0                 0                 0
   27.8718      -100                 0                 0                 0
    32.159      -100                 0                 0                 0
   36.8748      -100                 0                 0                 0
   42.0623      -100                 0                 0                 0
   47.7686      -100                 0                 0                 0
   54.0454      -100                 0                 0                 0
     60.95      -100                 0                 0                 0
    68.545      -100                 0                 0                 0
   76.8995      -100                 0                 0                 0
   86.0894      -100                 0                 0                 0
   96.1983      -100                 0                 0                 0
       100      -100                 0                 0                 0
         0  -91.0894                 0         0.0021117         0.0021117
       0.1  -91.0894                 0         0.0021117         0.0021117
      0.21  -91.0894                 0        0.00211168        0.00211168
     0.331  -91.0894                 0        0.00211165        0.00211165
    0.4641  -91.0894                 0         0.0021116         0.0021116
   0.61051  -91.0894                 0        0.00211153        0.00211153
  0.771561  -91.0894                 0        0.00211143        0.00211143
  0.948717  -91.0894                 0        0.00211129        0.00211129
   1.14359  -91.0894                 0         0.0021111         0.0021111
   1.35795  -91.0894                 0        0.00211086        0.00211086
   1.59374  -91.0894                 0        0.00211054        0.00211054
   1.85312  -91.0894                 0        0.00211013        0.00211013
   2.13843  -91.0894                 0        0.00210962        0.00210962
   2.45227  -91.0894                 0        0.00210896        0.00210896
    2.7975  -91.0894                 0        0.00210814        0.00210814
   3.17725  -91.0894                 0        0.00210711        0.00210711
   3.59497  -91.0894                 0        0.00210582        0.00210582
   4.05447  -91.0894                 0        0.00210423        0.00210423
   4.55992  -91.0894                 0        0.00210226        0.00210226
         5  -91.0894                 0        0.00210036        0.00210036
         7  -91.0894                 0        0.00208945        0.00208945
       9.2  -91.0894                 0        0.00207341        0.00207341
     11.62  -91.0894                 0        0.00205101        0.00205101
    14.282  -91.0894                 0        0.00202081        0.00202081
   17.2102  -91.0894                 0        0.00198118        0.00198118
   20.4312  -91.0894                 0        0.00193036        0.00193036
   23.9743  -91.0894                 0        0.00186646        0.00186646
   27.8718  -91.0894                 0         0.0017876         0.0017876
    32.159  -91.0894                 0        0.00169203        0.00169203
   36.8748  -91.0894                 0        0.00157829        0.00157829
   42.0623  -91.0894                 0        0.00144546        0.00144546
   47.7686  -91.0894                 0        0.00129336        0.00129336
   54.0454  -91.0894                 0        0.00112269        0.00112269
     60.95  -91.0894                 0       0.000935158       0.000935158
    68.545  -91.0894                 0       0.000733409       0.000733409
   76.8995  -91.0894                 0       0.000520807       0.000520807
   86.0894  -91.0894                 0       0.000301161       0.000301161
   96.1983  -91.0894                 0       7.85059e-05       7.85059e-05
       100  -91.0894                 0                 0                 0
         0  -81.8995                 0        0.00444665        0.00444665
       0.1  -81.8995                 0        0.00444664        0.00444664
      0.21  -81.8995                 0         0.0044466         0.0044466
     0.331  -81.8995                 0        0.00444654        0.00444654
    0.4641  -81.8995                 0        0.00444643        0.00444643
   0.61051  -81.8995                 0        0.00444627        0.00444627
  0.771561  -81.8995                 0        0.00444605        0.00444605
  0.948717  -81.8995                 0        0.00444574        0.00444574
   1.14359  -81.8995                 0        0.00444533        0.00444533
   1.35795  -81.8995                 0         0.0044448         0.0044448
   1.59374  -81.8995                 0         0.0044441         0.0044441
   1.85312  -81.8995                 0         0.0044432         0.0044432
   2.13843  -81.8995                 0        0.00444207        0.00444207
   2.45227  -81.8995                 0        0.00444063        0.00444063
    2.7975  -81.8995                 0        0.00443882        0.00443882
   3.17725  -81.8995                 0        0.00443655        0.00443655
   3.59497  -81.8995                 0        0.00443373        0.00443373
   4.05447  -81.8995                 0        0.00443022        0.00443022
   4.55992  -81.8995                 0        0.00442589        0.00442589
         5  -81.8995                 0        0.00442171        0.00442171
         7  -81.8995                 0        0.00439774        0.00439774
       9.2  -81.8995                 0        0.00436253        0.00436253
     11.62  -81.8995                 0        0.00431339        0.00431339
    14.282  -81.8995                 0        0.00424722        0.00424722
   17.2102  -81.8995                 0        0.00416057        0.00416057
   20.4312  -81.8995                 0        0.00404969        0.00404969
   23.9743  -81.8995                 0        0.00391067        0.00391067
   27.8718  -81.8995                 0         0.0037397         0.0037397
    32.159  -81.8995                 0        0.00353336        0.00353336
   36.8748  -81.8995                 0        0.00328899        0.00328899
   42.0623  -81.8995                 0         0.0030052         0.0030052
   47.7686  -81.8995                 0        0.00268221        0.00268221
   54.0454  -81.8995                 0        0.00232218        0.00232218
     60.95  -81.8995                 0        0.00192926        0.00192926
    68.545  -81.8995                 0        0.00150935        0.00150935
   76.8995  -81.8995                 0        0.00106955        0.00106955
   86.0894  -81.8995                 0       0.000617496       0.000617496
   96.1983  -81.8995                 0       0.000160834       0.000160834
       100  -81.8995                 0                 0                 0
         0   -73.545                 0        0.00686477        0.00686477
       0.1   -73.545                 0        0.00686475        0.00686475
      0.21   -73.545                 0        0.00686469        0.00686469
     0.331   -73.545                 0        0.00686458        0.00686458
    0.4641   -73.545                 0        0.00686441        0.00686441
   0.61051   -73.545                 0        0.00686414        0.00686414
  0.771561   -73.545                 0        0.00686378        0.00686378
  0.948717   -73.545                 0        0.00686327        0.00686327
   1.14359   -73.545                 0        0.00686259        0.00686259
   1.35795   -73.545                 0        0.00686171        0.00686171
   1.59374   -73.545                 0        0.00686056        0.00686056
   1.85312   -73.545                 0        0.00685908        0.00685908
   2.13843   -73.545                 0        0.00685719        0.00685719
   2.45227   -73.545                 0        0.00685481        0.00685481
