         x         y         z          analitic          solution          pogreshn
     -1000     -1000     -1000                 0                 0                 0
    -812.5     -1000     -1000                 0                 0                 0
      -475     -1000     -1000                 0                 0                 0
      -250     -1000     -1000                 0                 0                 0
      -100     -1000     -1000                 0                 0                 0
         0     -1000     -1000                 0                 0                 0
        25     -1000     -1000                 0                 0                 0
      52.5     -1000     -1000                 0                 0                 0
     82.75     -1000     -1000                 0                 0                 0
   116.025     -1000     -1000                 0                 0                 0
   152.627     -1000     -1000                 0                 0                 0
    192.89     -1000     -1000                 0                 0                 0
   237.179     -1000     -1000                 0                 0                 0
   285.897     -1000     -1000                 0                 0                 0
   339.487     -1000     -1000                 0                 0                 0
       400     -1000     -1000                 0                 0                 0
       420     -1000     -1000                 0                 0                 0
       440     -1000     -1000                 0                 0                 0
       460     -1000     -1000                 0                 0                 0
       480     -1000     -1000                 0                 0                 0
       500     -1000     -1000                 0                 0                 0
       525     -1000     -1000                 0                 0                 0
     562.5     -1000     -1000                 0                 0                 0
    618.75     -1000     -1000                 0                 0                 0
   703.125     -1000     -1000                 0                 0                 0
   829.688     -1000     -1000                 0                 0                 0
      1000     -1000     -1000                 0                 0                 0
     -1000    -812.5     -1000                 0                 0                 0
    -812.5    -812.5     -1000                 0                 0                 0
      -475    -812.5     -1000                 0                 0                 0
      -250    -812.5     -1000                 0                 0                 0
      -100    -812.5     -1000                 0                 0                 0
         0    -812.5     -1000                 0                 0                 0
        25    -812.5     -1000                 0                 0                 0
      52.5    -812.5     -1000                 0                 0                 0
     82.75    -812.5     -1000                 0                 0                 0
   116.025    -812.5     -1000                 0                 0                 0
   152.627    -812.5     -1000                 0                 0                 0
    192.89    -812.5     -1000                 0                 0                 0
   237.179    -812.5     -1000                 0                 0                 0
   285.897    -812.5     -1000                 0                 0                 0
   339.487    -812.5     -1000                 0                 0                 0
       400    -812.5     -1000                 0                 0                 0
       420    -812.5     -1000                 0                 0                 0
       440    -812.5     -1000                 0                 0                 0
       460    -812.5     -1000                 0                 0                 0
       480    -812.5     -1000                 0                 0                 0
       500    -812.5     -1000                 0                 0                 0
       525    -812.5     -1000                 0                 0                 0
     562.5    -812.5     -1000                 0                 0                 0
    618.75    -812.5     -1000                 0                 0                 0
   703.125    -812.5     -1000                 0                 0                 0
   829.688    -812.5     -1000                 0                 0                 0
      1000    -812.5     -1000                 0                 0                 0
     -1000      -475     -1000                 0                 0                 0
    -812.5      -475     -1000                 0                 0                 0
      -475      -475     -1000                 0                 0                 0
      -250      -475     -1000                 0                 0                 0
      -100      -475     -1000                 0                 0                 0
         0      -475     -1000                 0                 0                 0
        25      -475     -1000                 0                 0                 0
      52.5      -475     -1000                 0                 0                 0
     82.75      -475     -1000                 0                 0                 0
   116.025      -475     -1000                 0                 0                 0
   152.627      -475     -1000                 0                 0                 0
    192.89      -475     -1000                 0                 0                 0
   237.179      -475     -1000                 0                 0                 0
   285.897      -475     -1000                 0                 0                 0
   339.487      -475     -1000                 0                 0                 0
       400      -475     -1000                 0                 0                 0
       420      -475     -1000                 0                 0                 0
       440      -475     -1000                 0                 0                 0
       460      -475     -1000                 0                 0                 0
       480      -475     -1000                 0                 0                 0
       500      -475     -1000                 0                 0                 0
       525      -475     -1000                 0                 0                 0
     562.5      -475     -1000                 0                 0                 0
    618.75      -475     -1000                 0                 0                 0
   703.125      -475     -1000                 0                 0                 0
   829.688      -475     -1000                 0                 0                 0
      1000      -475     -1000                 0                 0                 0
     -1000      -250     -1000                 0                 0                 0
    -812.5      -250     -1000                 0                 0                 0
      -475      -250     -1000                 0                 0                 0
      -250      -250     -1000                 0                 0                 0
      -100      -250     -1000                 0                 0                 0
         0      -250     -1000                 0                 0                 0
        25      -250     -1000                 0                 0                 0
      52.5      -250     -1000                 0                 0                 0
     82.75      -250     -1000                 0                 0                 0
   116.025      -250     -1000                 0                 0                 0
   152.627      -250     -1000                 0                 0                 0
    192.89      -250     -1000                 0                 0                 0
   237.179      -250     -1000                 0                 0                 0
   285.897      -250     -1000                 0                 0                 0
   339.487      -250     -1000                 0                 0                 0
       400      -250     -1000                 0                 0                 0
       420      -250     -1000                 0                 0                 0
