14364 14364
-1000 -2000 -1000
-848.717 -2000 -1000
-671.561 -2000 -1000
-510.51 -2000 -1000
-450 -2000 -1000
-364.1 -2000 -1000
-231 -2000 -1000
-110 -2000 -1000
0 -2000 -1000
100 -2000 -1000
200 -2000 -1000
310 -2000 -1000
431 -2000 -1000
450 -2000 -1000
564.1 -2000 -1000
710.51 -2000 -1000
871.561 -2000 -1000
1048.72 -2000 -1000
1243.59 -2000 -1000
1457.95 -2000 -1000
1693.74 -2000 -1000
1953.12 -2000 -1000
2238.43 -2000 -1000
2552.27 -2000 -1000
2897.5 -2000 -1000
3277.25 -2000 -1000
3694.97 -2000 -1000
4000 -2000 -1000
-1000 -1853.12 -1000
-848.717 -1853.12 -1000
-671.561 -1853.12 -1000
-510.51 -1853.12 -1000
-450 -1853.12 -1000
-364.1 -1853.12 -1000
-231 -1853.12 -1000
-110 -1853.12 -1000
0 -1853.12 -1000
100 -1853.12 -1000
200 -1853.12 -1000
310 -1853.12 -1000
431 -1853.12 -1000
450 -1853.12 -1000
564.1 -1853.12 -1000
710.51 -1853.12 -1000
871.561 -1853.12 -1000
1048.72 -1853.12 -1000
1243.59 -1853.12 -1000
1457.95 -1853.12 -1000
1693.74 -1853.12 -1000
1953.12 -1853.12 -1000
2238.43 -1853.12 -1000
2552.27 -1853.12 -1000
2897.5 -1853.12 -1000
3277.25 -1853.12 -1000
3694.97 -1853.12 -1000
4000 -1853.12 -1000
-1000 -1593.74 -1000
-848.717 -1593.74 -1000
-671.561 -1593.74 -1000
-510.51 -1593.74 -1000
-450 -1593.74 -1000
-364.1 -1593.74 -1000
-231 -1593.74 -1000
-110 -1593.74 -1000
0 -1593.74 -1000
100 -1593.74 -1000
200 -1593.74 -1000
310 -1593.74 -1000
431 -1593.74 -1000
450 -1593.74 -1000
564.1 -1593.74 -1000
710.51 -1593.74 -1000
871.561 -1593.74 -1000
1048.72 -1593.74 -1000
1243.59 -1593.74 -1000
1457.95 -1593.74 -1000
1693.74 -1593.74 -1000
1953.12 -1593.74 -1000
2238.43 -1593.74 -1000
2552.27 -1593.74 -1000
2897.5 -1593.74 -1000
3277.25 -1593.74 -1000
3694.97 -1593.74 -1000
4000 -1593.74 -1000
-1000 -1357.95 -1000
-848.717 -1357.95 -1000
-671.561 -1357.95 -1000
-510.51 -1357.95 -1000
-450 -1357.95 -1000
-364.1 -1357.95 -1000
-231 -1357.95 -1000
-110 -1357.95 -1000
0 -1357.95 -1000
100 -1357.95 -1000
200 -1357.95 -1000
310 -1357.95 -1000
431 -1357.95 -1000
450 -1357.95 -1000
564.1 -1357.95 -1000
710.51 -1357.95 -1000
871.561 -1357.95 -1000
1048.72 -1357.95 -1000
1243.59 -1357.95 -1000
1457.95 -1357.95 -1000
1693.74 -1357.95 -1000
1953.12 -1357.95 -1000
2238.43 -1357.95 -1000
2552.27 -1357.95 -1000
