         x         y         z          analitic          solution          pogreshn
      -100      -100       -50                 0                 0                 0
   -77.284      -100       -50                 0                 0                 0
    -55.06      -100       -50                 0                 0                 0
  -39.1857      -100       -50                 0                 0                 0
   -27.847      -100       -50                 0                 0                 0
  -19.7478      -100       -50                 0                 0                 0
  -13.9627      -100       -50                 0                 0                 0
  -9.83052      -100       -50                 0                 0                 0
  -6.87895      -100       -50                 0                 0                 0
  -4.77068      -100       -50                 0                 0                 0
  -3.26477      -100       -50                 0                 0                 0
  -2.18912      -100       -50                 0                 0                 0
   -1.4208      -100       -50                 0                 0                 0
    -0.872      -100       -50                 0                 0                 0
     -0.48      -100       -50                 0                 0                 0
      -0.2      -100       -50                 0                 0                 0
         0      -100       -50                 0                 0                 0
       0.2      -100       -50                 0                 0                 0
      0.48      -100       -50                 0                 0                 0
     0.872      -100       -50                 0                 0                 0
    1.4208      -100       -50                 0                 0                 0
   2.18912      -100       -50                 0                 0                 0
   3.26477      -100       -50                 0                 0                 0
   4.77068      -100       -50                 0                 0                 0
   6.87895      -100       -50                 0                 0                 0
   9.83052      -100       -50                 0                 0                 0
   13.9627      -100       -50                 0                 0                 0
   19.7478      -100       -50                 0                 0                 0
    27.847      -100       -50                 0                 0                 0
   39.1857      -100       -50                 0                 0                 0
     55.06      -100       -50                 0                 0                 0
    77.284      -100       -50                 0                 0                 0
       100      -100       -50                 0                 0                 0
      -100  -89.5388       -50                 0                 0                 0
   -77.284  -89.5388       -50                 0                 0                 0
    -55.06  -89.5388       -50                 0                 0                 0
  -39.1857  -89.5388       -50                 0                 0                 0
   -27.847  -89.5388       -50                 0                 0                 0
  -19.7478  -89.5388       -50                 0                 0                 0
  -13.9627  -89.5388       -50                 0                 0                 0
  -9.83052  -89.5388       -50                 0                 0                 0
  -6.87895  -89.5388       -50                 0                 0                 0
  -4.77068  -89.5388       -50                 0                 0                 0
  -3.26477  -89.5388       -50                 0                 0                 0
  -2.18912  -89.5388       -50                 0                 0                 0
   -1.4208  -89.5388       -50                 0                 0                 0
    -0.872  -89.5388       -50                 0                 0                 0
     -0.48  -89.5388       -50                 0                 0                 0
      -0.2  -89.5388       -50                 0                 0                 0
         0  -89.5388       -50                 0                 0                 0
       0.2  -89.5388       -50                 0                 0                 0
      0.48  -89.5388       -50                 0                 0                 0
     0.872  -89.5388       -50                 0                 0                 0
    1.4208  -89.5388       -50                 0                 0                 0
   2.18912  -89.5388       -50                 0                 0                 0
   3.26477  -89.5388       -50                 0                 0                 0
   4.77068  -89.5388       -50                 0                 0                 0
   6.87895  -89.5388       -50                 0                 0                 0
   9.83052  -89.5388       -50                 0                 0                 0
