x;q0;task.q+;q_sum;q3D
-1,000000e+02;0,000000e+00;0,000000e+00;0,000000e+00;0,000000e+00
-7,156013e+01;7,179249e-03;-2,605245e-06;7,176644e-03;7,743736e-03
-4,897152e+01;1,769521e-02;-5,367794e-06;1,768984e-02;1,798270e-02
-3,283680e+01;3,371579e-02;-8,067771e-06;3,370772e-02;3,442353e-02
-2,131200e+01;6,002046e-02;-1,048657e-05;6,000997e-02;6,149952e-02
-1,308000e+01;1,074527e-01;-1,247409e-05;1,074402e-01;1,085993e-01
-7,200000e+00;2,052918e-01;-1,400567e-05;2,052778e-01;2,060340e-01
-3,000000e+00;5,138541e-01;-1,513790e-05;5,138389e-01;4,839681e-01
0,000000e+00;7,609657e+01;-1,595510e-05;7,609655e+01;1,242035e+01
2,000000e+00;7,796348e-01;-1,649904e-05;7,796183e-01;8,309902e-01
4,400000e+00;3,442901e-01;-1,714598e-05;3,442730e-01;3,413037e-01
7,280000e+00;2,033504e-01;-1,790584e-05;2,033325e-01;2,052758e-01
1,073600e+01;1,342376e-01;-1,877804e-05;1,342188e-01;1,354643e-01
1,488320e+01;9,221970e-02;-1,973652e-05;9,219997e-02;9,391657e-02
2,000000e+01;6,479595e-02;-2,072401e-05;6,477523e-02;6,495406e-02
2,511680e+01;4,872778e-02;-2,141512e-05;4,870636e-02;4,949674e-02
2,926400e+01;3,974232e-02;-2,170203e-05;3,972062e-02;4,037174e-02
3,272000e+01;3,387219e-02;-2,172659e-05;3,385047e-02;3,459086e-02
3,560000e+01;3,001556e-02;-2,158733e-05;2,999397e-02;3,062413e-02
3,800000e+01;2,715340e-02;-2,135730e-05;2,713205e-02;2,782195e-02
4,000000e+01;2,510036e-02;-2,108645e-05;2,507927e-02;2,572719e-02
4,200000e+01;2,304731e-02;-2,074487e-05;2,302656e-02;2,383724e-02
4,400000e+01;2,144200e-02;-2,033485e-05;2,142166e-02;2,211472e-02
4,600000e+01;1,985109e-02;-1,985961e-05;1,983123e-02;2,053782e-02
4,800000e+01;1,830016e-02;-1,932327e-05;1,828084e-02;1,908822e-02
5,000000e+01;1,705478e-02;-1,873073e-05;1,703605e-02;1,774924e-02
5,300000e+01;1,518670e-02;-1,774886e-05;1,516895e-02;1,592763e-02
5,720000e+01;1,298212e-02;-1,622258e-05;1,296590e-02;1,368779e-02
6,308000e+01;1,029609e-02;-1,389208e-05;1,028220e-02;1,101000e-02
7,131200e+01;7,258557e-03;-1,050580e-05;7,248051e-03;7,920007e-03
8,283680e+01;3,904157e-03;-5,986430e-06;3,898171e-03;4,423370e-03
1,000000e+02;0,000000e+00;0,000000e+00;0,000000e+00;0,000000e+00
